thread_url,thread_title,product,created_at_raw,views,replies,scraped_timestamp
https://www.dell.com/community/en/conversations/alienware/16x-aurora-ac16251-support-page-is-gone/69710323918dc91cb4a2f4d0,"16X Aurora AC16251, support page is gone",Alienware,"Jan 21, 2026",44,9,2026-01-28T09:52:09.086Z
https://www.dell.com/community/en/conversations/chromebook/front-camera-is-blurry/68bb04e510ebbc7b37ef726c,Front camera is blurry,Chromebook,"Sep 5, 2025",101,9,2026-01-28T09:52:41.107Z
https://www.dell.com/community/en/conversations/vostro/no-boot-problem/696fa4c8e3d7950ef0540149,No Boot Problem,Vostro,"Jan 20, 2026",24,6,2026-01-28T09:53:07.765Z
https://www.dell.com/community/en/conversations/alienware/m16-r1-keyboard-and-rgb-not-working/696b9c53e153922c02740512,"m16 R1, keyboard and rgb not working",Alienware,"Jan 17, 2026",25,5,2026-01-28T09:54:33.504Z
https://www.dell.com/community/en/conversations/precision-mobile-workstations/unable-to-load-pluton-windows-firmware/696e26ab918dc91cb44c04ea,Unable to load Pluton-Windows firmware.,Precision,"Jan 19, 2026",101,5,2026-01-28T09:54:57.710Z
https://www.dell.com/community/en/conversations/inspiron/screen-turned-off-72-light-pattern/6978523beaa515584646b0ed,"Screen turned off, 7/2 light pattern",Inspiron,"Jan 27, 2026",8,3,2026-01-28T09:55:16.074Z
https://www.dell.com/community/en/conversations/latitude/forgotten-bios-unlock-password/69788712c678d13f02bf9253,Forgotten bios unlock password,Latitude,"Jan 27, 2026",15,3,2026-01-28T09:55:34.490Z
https://www.dell.com/community/en/conversations/precision-mobile-workstations/precision-7680-and-dell-sd25tb5-dock-with-pd-of-300w-seen-as-130w/69751aeae153922c02947964,Precision 7680 and Dell SD25TB5 Dock with PD of 300W seen as 130W?,Precision,"Jan 24, 2026",15,3,2026-01-28T09:55:54.569Z
https://www.dell.com/community/en/conversations/precision-mobile-workstations/dell-precision-7740-12volt-charging-options/69738eb4e153922c026836fd,Dell Precision 7740 12volt charging options,Precision,"Jan 23, 2026",18,3,2026-01-28T09:56:16.589Z
https://www.dell.com/community/en/conversations/vostro/uneven-and-touchpad-on-the-one-side-i-suspect-a-warped-shell-casing-dell-vostro-14-3420/694ed3ff72c11a30ab071a71,Uneven And Touchpad On The One Side - I suspect A Warped Shell Casing - DELL  VOSTRO 14 3420,Vostro,"Dec 26, 2025",29,3,2026-01-28T09:56:46.287Z
https://www.dell.com/community/en/conversations/inspiron/what-for-1-amber-6-white-light/697977c5c678d13f02ddae7b,What for 1 amber 6 white light,Inspiron,"Jan 27, 2026",10,2,2026-01-28T09:57:05.770Z
https://www.dell.com/community/en/conversations/inspiron/dell-g16-7620-3050-ti-fan-replacement-halp/6974ea22e153922c028f5722,Dell G16 7620 3050 Ti Fan Replacement!!? HALP!!,Inspiron,"Jan 24, 2026",15,2,2026-01-28T09:57:23.381Z
https://www.dell.com/community/en/conversations/inspiron/settings/69738626e153922c02669363,settings,Inspiron,"Jan 23, 2026",21,2,2026-01-28T09:57:36.566Z
https://www.dell.com/community/en/conversations/alienware/18-area-51-aa18250-spacebar-not-lighting-up-but-supposed-to/697937c4918dc91cb49a4168,"18 Area-51 AA18250, spacebar not lighting up but supposed to!",Alienware,"Jan 27, 2026",11,2,2026-01-28T09:57:53.304Z
https://www.dell.com/community/en/conversations/alienware/m18-error/69728c40dd7dc95c268abc8f,"m18, error",Alienware,"Jan 22, 2026",21,2,2026-01-28T09:58:11.573Z
https://www.dell.com/community/en/conversations/alienware/aw510h-headset-doesnt-show-in-awcc/69719d8d918dc91cb4b546c7,AW510H headset doesn't show in AWCC,Alienware,"Jan 21, 2026",21,2,2026-01-28T09:58:30.842Z
